ccy,date,rate
AUD,2005-11-16,0.7296074711805048
CAD,2005-11-16,0.8385744234800839
CHF,2005-11-16,0.7544322897019993
CNY,2005-11-16,0.12379301807378065
CZK,2005-11-16,0.03976127331501664
DKK,2005-11-16,0.1564015139666552
EUR,2005-11-16,1.1661807580174928
GBP,2005-11-16,1.7149717029669012
HKD,2005-11-16,0.12892911477269794
HUF,2005-11-16,0.004649919207653767
ILS,2005-11-16,0.2113718030014796
INR,2005-11-16,0.021862702229995628
JPY,2005-11-16,0.008379420144126027
KRW,2005-11-16,0.0009638554216867467
MYR,2005-11-16,0.2645852626008731
NOK,2005-11-16,0.14936296694597542
NZD,2005-11-16,0.6838074398249453
PLN,2005-11-16,0.2929201206830897
RUB,2005-11-16,0.03461776791556034
SAR,2005-11-16,0.2666382252559727
SEK,2005-11-16,0.1212473931810466
SGD,2005-11-16,0.587026709715292
THB,2005-11-16,0.02428363283147159
TRY,2005-11-16,0.7339449541284403
TWD,2005-11-16,0.029735355337496282
USD,2005-11-16,1.0
ZAR,2005-11-16,0.14794650254467984
AUD,2005-11-17,0.7338910905621605
CAD,2005-11-17,0.8421761832575375
CHF,2005-11-17,0.7577479730241721
CNY,2005-11-17,0.12372409526755335
CZK,2005-11-17,0.039969303574854516
DKK,2005-11-17,0.15730195683634304
EUR,2005-11-17,1.1727460426703369
GBP,2005-11-17,1.7205781142463867
HKD,2005-11-17,0.12896569512509673
HUF,2005-11-17,0.004651171444039896
ILS,2005-11-17,0.212021626205873
INR,2005-11-17,0.021879444262115744
JPY,2005-11-17,0.008426019548365351
KRW,2005-11-17,0.0009666505558240695
MYR,2005-11-17,0.2645642626594
NOK,2005-11-17,0.14928715384041202
NZD,2005-11-17,0.686483146838745
PLN,2005-11-17,0.29538606959295804
RUB,2005-11-17,0.03469102439125925
SAR,2005-11-17,0.2666382252559727
SEK,2005-11-17,0.12201073694485115
SGD,2005-11-17,0.5880623346074684
THB,2005-11-17,0.024292481476982875
TRY,2005-11-17,0.7377351530800443
TWD,2005-11-17,0.029732703000029725
USD,2005-11-17,1.0
ZAR,2005-11-17,0.1490646195125587
AUD,2005-11-18,0.7309941520467835
CAD,2005-11-18,0.8393486654356219
CHF,2005-11-18,0.7567731194187983
CNY,2005-11-18,0.12396181975951405
CZK,2005-11-18,0.03990789258391632
